# Film SSF exported from spektrafilm profile kodak_vision3_50d.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000005,0.000105,0.453854
410,0.000006,0.000163,0.546405
420,0.000007,0.000267,0.529237
430,0.000009,0.000463,0.575001
440,0.000012,0.000867,0.620359
450,0.000015,0.001774,0.603013
460,0.000020,0.004051,0.750809
470,0.000027,0.010620,1.000000
480,0.000039,0.033169,0.373532
490,0.000057,0.112021,0.033836
500,0.000088,0.215041,0.007853
510,0.000142,0.299296,0.001560
520,0.000244,0.416760,0.000391
530,0.000453,0.586840,0.000118
540,0.000921,0.825586,0.000041
550,0.002096,1.000000,0.000016
560,0.005505,0.718786,0.000007
570,0.017382,0.521980,0.000003
580,0.067002,0.321008,0.000002
590,0.192839,0.046902,0.000001
600,0.366981,0.007405,0.000001
610,0.515623,0.001553,0.000000
620,0.542490,0.000407,0.000000
630,0.663241,0.000128,0.000000
640,0.873443,0.000046,0.000000
650,1.000000,0.000019,0.000000
660,0.772718,0.000009,0.000000
670,0.162843,0.000004,0.000000
680,0.021335,0.000002,0.000000
690,0.003829,0.000001,0.000000
700,0.000905,0.000001,0.000000
