# Film SSF exported from spektrafilm profile kodak_portra_800.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000119,0.034312,0.779209
410,0.000150,0.035680,1.000000
420,0.000193,0.030873,0.887785
430,0.000252,0.028003,0.844479
440,0.000337,0.023472,0.754610
450,0.000460,0.023840,0.670961
460,0.000645,0.028126,0.717733
470,0.000931,0.027886,0.892931
480,0.001386,0.059949,0.542100
490,0.002121,0.200222,0.163028
500,0.002908,0.312967,0.047940
510,0.004424,0.370510,0.010597
520,0.006711,0.464928,0.003645
530,0.007444,0.629748,0.001204
540,0.007779,0.844853,0.000457
550,0.009440,1.000000,0.000194
560,0.016096,0.891100,0.000091
570,0.022653,0.613704,0.000046
580,0.080029,0.402056,0.000025
590,0.232362,0.073632,0.000014
600,0.331360,0.006199,0.000009
610,0.415034,0.000609,0.000005
620,0.480931,0.000074,0.000004
630,0.572804,0.000011,0.000002
640,0.779279,0.000002,0.000002
650,0.936821,0.000000,0.000001
660,1.000000,0.000000,0.000001
670,0.307180,0.000000,0.000001
680,0.129685,0.000000,0.000001
690,0.050071,0.000000,0.000000
700,0.005444,0.000000,0.000000
