# Film SSF exported from spektrafilm profile kodak_portra_160.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.000991,0.156058,0.690726
410,0.001188,0.147064,0.735505
420,0.001446,0.135164,0.770891
430,0.001789,0.103183,0.708952
440,0.002255,0.101410,0.817080
450,0.002904,0.089094,0.719663
460,0.003829,0.092144,0.832711
470,0.005186,0.099078,1.000000
480,0.007229,0.150490,0.469967
490,0.010280,0.227161,0.066587
500,0.012540,0.318396,0.022074
510,0.015984,0.386740,0.008653
520,0.020270,0.466744,0.003351
530,0.021394,0.579064,0.001465
540,0.020747,0.770540,0.000711
550,0.026329,1.000000,0.000377
560,0.044359,0.811406,0.000214
570,0.073986,0.636309,0.000130
580,0.198001,0.302713,0.000083
590,0.380004,0.067399,0.000055
600,0.575742,0.017158,0.000038
610,0.776558,0.004961,0.000027
620,0.924735,0.001601,0.000020
630,1.000000,0.000569,0.000015
640,0.671581,0.000220,0.000012
650,0.164890,0.000092,0.000009
660,0.099683,0.000041,0.000007
670,0.028280,0.000019,0.000006
680,0.009076,0.000010,0.000005
690,0.003273,0.000005,0.000004
700,0.001304,0.000003,0.000003
