# Film SSF exported from spektrafilm profile kodak_vision3_500t.json (CC BY-SA 4.0, see spektrafilm/README.md)
wavelength_nm,R,G,B
400,0.001378,0.003033,0.982694
410,0.001575,0.003993,1.000000
420,0.001819,0.005421,0.957203
430,0.002125,0.007621,0.930908
440,0.002516,0.011140,0.838863
450,0.003024,0.016788,0.761631
460,0.003696,0.022417,0.739709
470,0.004606,0.027887,0.714174
480,0.005867,0.060950,0.476768
490,0.007663,0.154846,0.265267
500,0.010286,0.278236,0.131309
510,0.014123,0.366019,0.050228
520,0.018112,0.461776,0.016216
530,0.019914,0.598648,0.003064
540,0.016636,0.816123,0.000600
550,0.014947,1.000000,0.000143
560,0.028629,0.830816,0.000040
570,0.048117,0.649739,0.000013
580,0.116339,0.421150,0.000005
590,0.325651,0.091146,0.000002
600,0.490712,0.011126,0.000001
610,0.659118,0.001735,0.000000
620,0.914564,0.000339,0.000000
630,0.859866,0.000080,0.000000
640,0.839232,0.000022,0.000000
650,1.000000,0.000007,0.000000
660,0.912209,0.000002,0.000000
670,0.425232,0.000001,0.000000
680,0.177800,0.000000,0.000000
690,0.081341,0.000000,0.000000
700,0.040495,0.000000,0.000000
